modality_raw,bucket,n_programs
ADC,ph2_stall,28
ADC,commercial_strategic,10
ADC,silent_efficacy_ph3,5
ADC,enrollment_operational,4
ADC,planned,1
ADC,unclassified_termination,1
ADC,efficacy,1
CAR_T,commercial_strategic,1
CAR_T,competitive_landscape,1
CAR_T,ph2_stall,1
antibody,ph2_stall,214
antibody,silent_efficacy_ph3,161
antibody,commercial_strategic,115
antibody,unclassified_termination,44
antibody,efficacy,37
antibody,competitive_landscape,11
antibody,enrollment_operational,10
antibody,safety,8
antibody,regulatory_admin,7
antibody,planned,3
antibody,unknown,2
antibody,covid,1
antibody_drug_conjugate,ph2_stall,7
antibody_drug_conjugate,silent_efficacy_ph3,2
antibody_drug_conjugate,commercial_strategic,2
antibody_drug_conjugate,efficacy,2
antibody_drug_conjugate,safety,1
antibody_drug_conjugate,unclassified_termination,1
bispecific_mAb,commercial_strategic,4
bispecific_mAb,efficacy,1
cell_therapy,silent_efficacy_ph3,3
cell_therapy,commercial_strategic,2
contrast_agent,silent_efficacy_ph3,1
gene_therapy,planned,1
gene_therapy,ph2_stall,1
gene_therapy,unclassified_termination,1
gene_therapy,silent_efficacy_ph3,1
mAb,ph2_stall,28
mAb,silent_efficacy_ph3,27
mAb,commercial_strategic,7
mAb,covid,5
mAb,efficacy,4
mAb,unclassified_termination,3
mAb,enrollment_operational,1
mixture,efficacy,2
mixture,ph2_stall,2
mixture,silent_efficacy_ph3,1
mrna,ph2_stall,6
mrna,silent_efficacy_ph3,3
mrna,efficacy,1
mrna,commercial_strategic,1
oligonucleotide,ph2_stall,26
oligonucleotide,silent_efficacy_ph3,9
oligonucleotide,commercial_strategic,3
oligonucleotide,efficacy,3
oligonucleotide,planned,3
oligonucleotide,enrollment_operational,2
oligonucleotide_ASO,ph2_stall,2
oligonucleotide_siRNA,ph2_stall,4
oligosaccharide,efficacy,2
oligosaccharide,silent_efficacy_ph3,2
oligosaccharide,enrollment_operational,1
other,efficacy,1
other,unclassified_termination,1
other_cell_therapy,silent_efficacy_ph3,1
peptide,ph2_stall,19
peptide,silent_efficacy_ph3,13
peptide,enrollment_operational,2
peptide,safety,1
polymer,silent_efficacy_ph3,3
polymer,ph2_stall,2
protein,silent_efficacy_ph3,123
protein,ph2_stall,97
protein,commercial_strategic,25
protein,unclassified_termination,11
protein,enrollment_operational,7
protein,efficacy,7
protein,regulatory_admin,2
protein,pk_pd,1
protein,competitive_landscape,1
protein_or_enzyme,silent_efficacy_ph3,22
protein_or_enzyme,ph2_stall,9
protein_or_enzyme,efficacy,2
protein_or_enzyme,pk_pd,1
small_molecule,ph2_stall,1880
small_molecule,silent_efficacy_ph3,1690
small_molecule,commercial_strategic,813
small_molecule,efficacy,307
small_molecule,unclassified_termination,287
small_molecule,enrollment_operational,286
small_molecule,planned,61
small_molecule,covid,44
small_molecule,competitive_landscape,40
small_molecule,regulatory_admin,37
small_molecule,safety,19
small_molecule,manufacturing_supply,6
small_molecule,unknown,6
vaccine,ph2_stall,13
vaccine,silent_efficacy_ph3,8
vaccine,commercial_strategic,1
vaccine,safety,1
