therapeutic_area,bucket,n_programs
autoimmune,ph2_stall,772
autoimmune,phase1_stall,695
autoimmune,silent_efficacy_ph3,586
autoimmune,commercial_strategic,242
autoimmune,efficacy,159
autoimmune,unclassified_termination,136
autoimmune,enrollment_operational,94
autoimmune,planned,32
autoimmune,safety,23
autoimmune,regulatory_admin,16
autoimmune,covid,8
autoimmune,pk_pd,5
autoimmune,manufacturing_supply,4
autoimmune,competitive_landscape,3
cv,phase1_stall,414
cv,silent_efficacy_ph3,371
cv,ph2_stall,308
cv,commercial_strategic,158
cv,unclassified_termination,96
cv,efficacy,44
cv,enrollment_operational,33
cv,covid,22
cv,regulatory_admin,13
cv,planned,10
cv,safety,9
cv,pk_pd,2
cv,manufacturing_supply,1
infectious,phase1_stall,1356
infectious,ph2_stall,1258
infectious,silent_efficacy_ph3,1010
infectious,commercial_strategic,372
infectious,enrollment_operational,186
infectious,unclassified_termination,173
infectious,efficacy,119
infectious,covid,84
infectious,regulatory_admin,40
infectious,safety,35
infectious,competitive_landscape,23
infectious,planned,17
infectious,manufacturing_supply,11
infectious,pk_pd,6
metabolic,phase1_stall,866
metabolic,silent_efficacy_ph3,566
metabolic,ph2_stall,471
metabolic,commercial_strategic,103
metabolic,unclassified_termination,46
metabolic,efficacy,44
metabolic,enrollment_operational,20
metabolic,regulatory_admin,10
metabolic,safety,10
metabolic,planned,6
metabolic,manufacturing_supply,3
metabolic,competitive_landscape,2
metabolic,covid,1
neuro,phase1_stall,481
neuro,ph2_stall,438
neuro,silent_efficacy_ph3,276
neuro,commercial_strategic,140
neuro,efficacy,121
neuro,unclassified_termination,72
neuro,enrollment_operational,67
neuro,regulatory_admin,34
neuro,safety,13
neuro,planned,9
neuro,covid,8
neuro,competitive_landscape,1
neuro,manufacturing_supply,1
oncology,phase1_stall,3695
oncology,commercial_strategic,3411
oncology,ph2_stall,1244
oncology,unclassified_termination,1244
oncology,silent_efficacy_ph3,975
oncology,efficacy,761
oncology,enrollment_operational,479
oncology,planned,126
oncology,regulatory_admin,126
oncology,competitive_landscape,114
oncology,safety,89
oncology,pk_pd,26
oncology,manufacturing_supply,23
oncology,covid,19
other,phase1_stall,12823
other,ph2_stall,6103
other,silent_efficacy_ph3,5030
other,commercial_strategic,2463
other,unclassified_termination,1060
other,efficacy,850
other,enrollment_operational,653
other,regulatory_admin,251
other,covid,194
other,planned,191
other,safety,177
other,competitive_landscape,51
other,pk_pd,49
other,manufacturing_supply,39
rare,ph2_stall,26
rare,phase1_stall,23
rare,efficacy,18
rare,commercial_strategic,14
rare,regulatory_admin,11
rare,enrollment_operational,8
rare,silent_efficacy_ph3,7
rare,planned,2
rare,unclassified_termination,2
rare,safety,1
